Date;Yield
1975Q1;10.44
1975Q2;9.84333333333333
1975Q3;10.51
1975Q4;11.0366666666667
1976Q1;8.84
1976Q2;10.7566666666667
1976Q3;11.6433333333333
1976Q4;14.2633333333333
1977Q1;10.5733333333333
1977Q2;7.73
1977Q3;6.51
1977Q4;5.94333333333333
1978Q1;6.44333333333333
1978Q2;8.94
1978Q3;9.43333333333333
1978Q4;11.6866666666667
1979Q1;12.26
1979Q2;12.28
1979Q3;14.0166666666667
1979Q4;15.8966666666667
1980Q1;17.45
1980Q2;16.4033333333333
1980Q3;15.4533333333333
1980Q4;14.5733333333333
1981Q1;12.0633333333333
1981Q2;11.76
1981Q3;14.3133333333333
1981Q4;14.8533333333333
1982Q1;13.2566666666667
1982Q2;12.7166666666667
1982Q3;10.47
1982Q4;9.71333333333333
1983Q1;10.7533333333333
1983Q2;9.7
1983Q3;9.32
1983Q4;8.88333333333333
1984Q1;8.72333333333333
1984Q2;9.09333333333333
1984Q3;10.6
1984Q4;9.39666666666667
1985Q1;12.6466666666667
1985Q2;11.97
1985Q3;10.97
1985Q4;11.1533333333333
1986Q1;11.7233333333333
1986Q2;9.63
1986Q3;9.75666666666667
1986Q4;10.69
1987Q1;10.18
1987Q2;8.80666666666667
1987Q3;9.62
1987Q4;8.64
1988Q1;8.5
1988Q2;8.21
1988Q3;11.2133333333333
1988Q4;12.2966666666667
1989Q1;12.6333333333333
1989Q2;13.2733333333333
1989Q3;13.6533333333333
1989Q4;14.2033333333333
1990Q1;14.5366666666667
1990Q2;14.53
1990Q3;14.33
1990Q4;13.16
1991Q1;12.2866666666667
1991Q2;10.9633333333333
1991Q3;10.25
1991Q4;10.1566666666667
1992Q1;10.05
1992Q2;9.69666666666667
1992Q3;9.34
1992Q4;6.71666666666667
1993Q1;5.636
1993Q2;5.75733333333333
1993Q3;5.448
1993Q4;5.16666666666667
1994Q1;5.25333333333333
1994Q2;5.14
1994Q3;5.71333333333333
1994Q4;6.23666666666667
1995Q1;6.67
1995Q2;6.80666666666667
1995Q3;6.79
1995Q4;6.64
1996Q1;6.19333333333333
1996Q2;5.96333333333333
1996Q3;5.83
1996Q4;6.39333333333333
1997Q1;6.35
1997Q2;6.53333333333333
1997Q3;7.08033333333333
1997Q4;7.37966666666667
1998Q1;7.446
1998Q2;7.493
1998Q3;7.388
1998Q4;6.39666666666667
1999Q1;5.287
1999Q2;5.01333333333333
1999Q3;5.02666666666667
1999Q4;5.49866666666667
2000Q1;6.00333333333333
2000Q2;6.01
2000Q3;5.96966666666667
2000Q4;5.85266666666667
2001Q1;5.539
2001Q2;5.15133333333333
2001Q3;4.82466666666667
2001Q4;4.006
2002Q1;3.971
2002Q2;4.07033333333333
2002Q3;3.88833333333333
2002Q4;3.89466666666667
2003Q1;3.67866666666667
2003Q2;3.549
2003Q3;3.52
2003Q4;3.93666666666667
2004Q1;4.171
2004Q2;4.55
2004Q3;4.92866666666667
2004Q4;4.81966666666667
2005Q1;4.88166666666667
2005Q2;4.88066666666667
2005Q3;4.48
2005Q4;4.53033333333333
2006Q1;4.5295
2006Q2;4.57666666666667
2006Q3;4.74366666666667
2006Q4;5.10066666666667
2007Q1;5.42633333333333
2007Q2;5.681
2007Q3;5.84166666666667
2007Q4;5.579
2008Q1;5.138
2008Q2;5.10133333333333
2008Q3;5.075
2008Q4;2.31833333333333
2009Q1;0.826666666666667
2009Q2;0.590666666666667
2009Q3;0.453333333333333
2009Q4;0.482333333333333
2010Q1;0.527333333333333
2010Q2;0.542666666666667
2010Q3;0.552333333333333
2010Q4;0.576666666666667
2011Q1;0.625333333333333
2011Q2;0.594
2011Q3;0.555666666666667
2011Q4;0.52
2012Q1;0.493333333333333
2012Q2;0.480333333333333
2012Q3;0.439
2012Q4;0.445
2013Q1;0.370666666666667
2013Q2;0.368666666666667
2013Q3;0.373333333333333
2013Q4;0.381
2014Q1;0.358666666666667
2014Q2;0.378333333333333
2014Q3;0.440666666666667
2014Q4;0.44
2015Q1;0.424
2015Q2;0.465333333333333
2015Q3;0.472666666666667
2015Q4;0.473333333333333
2016Q1;0.466333333333333
2016Q2;0.457666666666667
2016Q3;0.246666666666667
2016Q4;0.218
2017Q1;0.218666666666667
2017Q2;0.184666666666667
2017Q3;0.200666666666667
2017Q4;0.369333333333333
2018Q1;0.373666666666667
2018Q2;0.507666666666667
