Date;1975Q1;1975Q2;1975Q3;1975Q4;1976Q1;1976Q2;1976Q3;1976Q4;1977Q1;1977Q2;1977Q3;1977Q4;1978Q1;1978Q2;1978Q3;1978Q4;1979Q1;1979Q2;1979Q3;1979Q4;1980Q1;1980Q2;1980Q3;1980Q4;1981Q1;1981Q2;1981Q3;1981Q4;1982Q1;1982Q2;1982Q3;1982Q4;1983Q1;1983Q2;1983Q3;1983Q4;1984Q1;1984Q2;1984Q3;1984Q4;1985Q1;1985Q2;1985Q3;1985Q4;1986Q1;1986Q2;1986Q3;1986Q4;1987Q1;1987Q2;1987Q3;1987Q4;1988Q1;1988Q2;1988Q3;1988Q4;1989Q1;1989Q2;1989Q3;1989Q4;1990Q1;1990Q2;1990Q3;1990Q4;1991Q1;1991Q2;1991Q3;1991Q4;1992Q1;1992Q2;1992Q3;1992Q4;1993Q1;1993Q2;1993Q3;1993Q4;1994Q1;1994Q2;1994Q3;1994Q4;1995Q1;1995Q2;1995Q3;1995Q4;1996Q1;1996Q2;1996Q3;1996Q4;1997Q1;1997Q2;1997Q3;1997Q4;1998Q1;1998Q2;1998Q3;1998Q4;1999Q1;1999Q2;1999Q3;1999Q4;2000Q1;2000Q2;2000Q3;2000Q4;2001Q1;2001Q2;2001Q3;2001Q4;2002Q1;2002Q2;2002Q3;2002Q4;2003Q1;2003Q2;2003Q3;2003Q4;2004Q1;2004Q2;2004Q3;2004Q4;2005Q1;2005Q2;2005Q3;2005Q4;2006Q1;2006Q2;2006Q3;2006Q4;2007Q1;2007Q2;2007Q3;2007Q4;2008Q1;2008Q2;2008Q3;2008Q4;2009Q1;2009Q2;2009Q3;2009Q4;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2
GDP;180439.2;177473.9;176889.9;178909.7;181756.4;181440.3;183704.9;187580.5;187686.2;186302.2;187603.7;190834.2;192486.9;194828.4;197461;199265.8;198489;207290.5;202734.5;204862.8;202860.5;198859.8;198629;196534;196208.7;196674.9;198812.5;199043.3;199371.5;201603.6;202119.9;203542.8;207235.8;209007.2;211311.6;213138.7;214604.2;212735.4;214119.4;218370.4;220210.4;224906.4;225117.8;225667.4;228199;229863.8;230881.6;234948.2;237054.2;240483;246295.1;249087.1;253563.4;255079;258981.5;261215.4;262351;264059.3;264312.4;264551.6;266332.3;267702.3;264923.3;264039;263295.5;262976.7;262376.9;262797.8;262782.9;262459.4;264139.1;265997.6;267944.2;269306.9;271473.2;273323.4;276610.4;279820.4;282996.2;284604.5;284177.3;285202.4;288004.1;288815.5;291419.8;292347.6;294344.3;297146.8;302874.8;305551.9;307051;310235.6;312592.5;315426.9;317778.3;320870.1;322683;322883.2;328645.7;333163.8;335975.5;338029.5;338978.2;339542.2;344025.8;346732.9;349316.2;350872.6;352539.1;354864.1;357553.9;360760.4;363131.8;366569.3;370317.9;373309.7;375352.7;376790.9;377412.1;378363.6;381950.3;386186.5;390704.6;396558.1;397614.2;398500.2;398755.8;400162.1;404143.6;407059.9;410507.4;413923.1;415396.7;412322.1;405531.7;396725.5;390129.7;389390.2;389944.2;391294.1;393058.8;396434.4;398726.7;399246.1;402238.8;402832.8;403917.1;404587.5;407208.1;406988.9;411835.5;410893.1;413550.1;415817.8;419545.5;421508.5;425041.5;428579.1;431582.7;434455.3;436382.9;438866.2;440765.5;444041.1;445481;446177.8;448282.7;451606.5;453585;454764.8;456359.4;458033.1;458457;460303.5
Bond Yield 10Y;13.54666667;12.84;12.76;13.58;12.44;12.76333333;13.80333333;15.43333333;13.28333333;12.18666667;12.06333333;10.57666667;10.73333333;12.22333333;12.32666667;12.97666667;13.20666667;11.9;12.38666667;14.29;14.69333333;14.10333333;13.41666667;13.44;13.82333333;14.25;15.44;16.02;15.01333333;13.94666667;12.35666667;11.02333333;11.68;11.07;11.5;10.82333333;10.76666667;11.27333333;11.57;10.9;11.39333333;11.11;10.71333333;10.66333333;10.51666667;9.18;9.85;10.99333333;9.783333333;8.956666667;9.876666667;9.666666667;9.483333333;9.373333333;9.95;9.896666667;9.853333333;10.3;10.09;10.52;11.54666667;12.31666667;12.03;11.31666667;10.33666667;10.38333333;9.983333333;9.716666667;9.48;9.19;9.196666667;8.386666667;7.986666667;8;7.216666667;6.7151;6.8512;8.2777;8.693766667;8.665733333;8.661466667;8.242566667;8.108933333;7.788166667;7.7532;8.0671;7.851066667;7.569366667;7.401933333;7.315966667;6.989533333;6.502933333;6.0453;5.821333333;5.517833333;4.819366667;4.458033333;4.890133333;5.498066667;5.527866667;5.609366667;5.311433333;5.3191;5.076;4.791633333;5.085733333;5.0589;4.781733333;5.0208;5.200333333;4.749766667;4.606066667;4.3091;4.266233333;4.575;4.956033333;4.7673;5.0896;5.008766667;4.6634;4.6421;4.441266667;4.278966667;4.293233333;4.1824;4.610333333;4.620566667;4.5934;4.8616;5.207266667;5.1837;4.792533333;4.5203;4.907266667;4.782066667;4.153266667;3.5365;3.5833;3.731533333;3.738733333;4.052133333;3.8262;3.2896;3.329766667;3.781933333;3.560533333;2.867;2.3345;2.2175;1.974366667;1.682666667;1.797633333;2.078133333;2.011633333;2.6747;2.794666667;2.836133333;2.7416;2.586966667;2.111633333;1.706533333;1.982966667;1.998866667;1.915766667;1.609966667;1.471966667;0.8411;1.2978;1.3067;1.093666667;1.213;1.329866667;1.5015;1.478433333
CPI;14.73764973;16.13050054;16.83900269;17.41868626;18.0466768;18.70687198;19.13760908;20.01921118;21.02560627;21.9635665;22.30976641;22.63583842;23.02229413;23.65028467;24.06089387;24.46747749;25.22831217;26.15419566;27.90532312;28.69031129;30.0429063;31.79000818;32.47033126;33.07416831;33.85915649;35.50964444;36.12555823;37.01118592;37.62709971;38.83074824;39.00787378;39.29368999;39.494969;40.30008508;40.81938495;41.27830111;41.53191267;42.37325897;42.74361236;43.27498897;43.81739179;45.32614576;45.43731711;45.6596598;45.97729221;46.5807938;46.62843867;47.23194026;47.80367861;48.53423316;48.64540451;49.16949799;49.35272727;50.33571429;50.74246753;51.3187013;51.75935065;52.94571429;53.31857143;54.16597403;54.81;56.5387013;57.35220779;58.40298701;58.64025974;61.28415584;61.72480519;62.50441558;62.74168831;63.89415584;63.75857143;64.19922078;64.23311688;65.45337662;65.58896104;65.72454545;65.75844156;66.74142857;66.70753247;66.87701299;67.41935065;68.40233766;68.50402597;68.87688312;69.24974026;70.02935065;70.09714286;70.53779221;70.53779221;71.18181818;71.45298701;71.82584416;71.69025974;72.46987013;72.43597403;72.84272727;72.80883117;73.52064935;73.35116883;73.65623377;73.35116883;73.99519481;73.9274026;74.40194805;73.99519481;75.07987013;75.11376623;75.14766234;75.11376623;75.79168831;75.85948052;76.26623377;76.26623377;76.74077922;76.87636364;77.31701299;77.24922078;77.82545455;77.85935065;78.40168831;78.5;79.3;79.7;80.1;80.2;81.2;81.7;82.3;82.4;83.3;83.3;84.1;84.5;86.1;87.1;87.2;87;87.8;88.2;88.6;89.1;90;90.3;91.1;92.2;93.4;93.9;94.7;95.1;95.8;96.1;97;97.4;98.1;98.4;98.9;99;99.7;99.8;100;99.4;100;100.2;100.4;100.1;100.8;101.2;101.9;102.3;103.4;103.9;104.7;104.8;104.8
